R	C	T	Si	Op_FF	Res_FF	St	Pt	SU	Info
650	650	6	325	1.250000	1.000000	1.102175	1.353590	0.814261	
600	600	6	300	1.250000	1.000000	0.867990	1.065934	0.814300	
550	550	6	275	1.250000	1.000000	0.664435	0.820114	0.810174	
500	500	6	250	1.250000	1.000000	0.486989	0.612690	0.794838	
450	450	6	225	1.250000	1.000000	0.346992	0.450812	0.769704	

1150	1150	6	575	1.500000	1.000000	7.976714	9.973546	0.799787	Best result yet!
1100	1100	6	550	1.500000	1.000000	6.980860	8.452656	0.825878	Best result yet!
1050	1050	6	525	1.500000	1.000000	5.945529	7.350431	0.808868	
1000	1000	6	500	1.500000	1.000000	5.117881	6.608946	0.774387	
950	950	6	475	1.500000	1.000000	4.298545	5.259610	0.817274	
900	900	6	450	1.500000	1.000000	3.628082	4.424668	0.819967	
850	850	6	425	1.500000	1.000000	3.065376	4.008077	0.764800	
800	800	6	400	1.500000	1.000000	2.513461	3.094562	0.812219	
750	750	6	375	1.500000	1.000000	2.031716	2.522469	0.805447	
700	700	6	350	1.500000	1.000000	1.662508	2.035399	0.816797	
650	650	6	325	1.500000	1.000000	1.338890	1.628247	0.822289	
600	600	6	300	1.500000	1.000000	1.051911	1.272064	0.826932	Best result yet!
550	550	6	275	1.500000	1.000000	0.804566	0.984521	0.817216	
500	500	6	250	1.500000	1.000000	0.600058	0.738714	0.812301	
450	450	6	225	1.500000	1.000000	0.429017	0.537499	0.798173	

1150	1150	6	575	1.750000	1.000000	11.717811	11.637695	1.006884	Best result yet!
1100	1100	6	550	1.750000	1.000000	8.833761	9.798844	0.901511	
1050	1050	6	525	1.750000	1.000000	7.620370	8.487909	0.897791	
1000	1000	6	500	1.750000	1.000000	6.144235	7.532432	0.815704	
950	950	6	475	1.750000	1.000000	5.007569	6.133922	0.816373	
900	900	6	450	1.750000	1.000000	4.188362	5.163428	0.811159	
850	850	6	425	1.750000	1.000000	3.552763	4.649778	0.764072	
800	800	6	400	1.750000	1.000000	2.947528	3.614937	0.815375	
750	750	6	375	1.750000	1.000000	2.384150	2.954808	0.806871	
700	700	6	350	1.750000	1.000000	1.954075	2.371302	0.824052	
650	650	6	325	1.750000	1.000000	1.646400	1.924237	0.855612	
600	600	6	300	1.750000	1.000000	1.332489	1.515416	0.879289	
550	550	6	275	1.750000	1.000000	0.973209	1.151479	0.845182	
500	500	6	250	1.750000	1.000000	0.690617	0.865871	0.797598	
450	450	6	225	1.750000	1.000000	0.500178	0.623170	0.802635	

1150	1150	6	575	2.000000	1.000000	14.548809	13.337269	1.090839	Best result yet!
1100	1100	6	550	2.000000	1.000000	10.537400	11.231987	0.938160	
1050	1050	6	525	2.000000	1.000000	8.997933	9.671770	0.930330	
1000	1000	6	500	2.000000	1.000000	7.400085	8.679633	0.852580	
950	950	6	475	2.000000	1.000000	6.118409	6.993776	0.874836	
900	900	6	450	2.000000	1.000000	4.765406	5.899001	0.807833	
850	850	6	425	2.000000	1.000000	4.068686	5.357400	0.759452	
800	800	6	400	2.000000	1.000000	3.364811	4.174528	0.806034	
750	750	6	375	2.000000	1.000000	2.726596	3.364465	0.810410	
700	700	6	350	2.000000	1.000000	2.229016	2.706047	0.823717	
650	650	6	325	2.000000	1.000000	1.789883	2.160109	0.828608	
600	600	6	300	2.000000	1.000000	1.392069	1.698761	0.819461	
550	550	6	275	2.000000	1.000000	1.067402	1.307423	0.816417	
500	500	6	250	2.000000	1.000000	0.788670	0.979883	0.804861	
450	450	6	225	2.000000	1.000000	0.578275	0.715569	0.808133	

1150	1150	6	575	2.250000	1.000000	15.594600	14.938175	1.043943	Best result yet!
1100	1100	6	550	2.250000	1.000000	12.240904	12.702701	0.963646	
1050	1050	6	525	2.250000	1.000000	11.188820	10.822464	1.033851	
1000	1000	6	500	2.250000	1.000000	8.872275	9.743732	0.910562	
950	950	6	475	2.250000	1.000000	7.095483	7.925911	0.895226	
900	900	6	450	2.250000	1.000000	5.542882	6.653591	0.833066	
850	850	6	425	2.250000	1.000000	4.597379	6.028083	0.762660	
800	800	6	400	2.250000	1.000000	3.822395	4.626393	0.826215	
750	750	6	375	2.250000	1.000000	3.044828	3.795168	0.802291	
700	700	6	350	2.250000	1.000000	2.486516	3.088487	0.805092	
650	650	6	325	2.250000	1.000000	1.996183	2.434056	0.820106	
600	600	6	300	2.250000	1.000000	1.572831	1.933686	0.813385	
550	550	6	275	2.250000	1.000000	1.199649	1.473807	0.813980	
500	500	6	250	2.250000	1.000000	0.890562	1.109674	0.802544	
450	450	6	225	2.250000	1.000000	0.656729	0.806436	0.814360	

1150	1150	6	575	2.500000	1.000000	18.817607	16.630318	1.131524	Best result yet!
1100	1100	6	550	2.500000	1.000000	13.897858	14.123260	0.984040	
